rating,review_count,name,url,is_closed,snippet_text
4.5,251,Hammerheads,http://www.yelp.com/biz/hammerheads-louisville,False,"FANTASTIC! Food was phenomenal! Had the ribs, macaroni balls, and truffle fries.  Everything inspired a reaction of 'To Die For'.  Ribs were some of the..."
4.5,198,Jack Fry's,http://www.yelp.com/biz/jack-frys-louisville,False,"The only truly great restaurant in Louisville. Taste, perfection, balance-- it's all there. 

The fried oyster appetizer, the warm goat cheese salad with..."
4.5,123,Sidebar,http://www.yelp.com/biz/sidebar-louisville,False,"Great service, great local crafts on tap, terrific burger - this place has it all.

My sister and I were in town on the business of visiting our..."
4.5,237,Smoketown USA,http://www.yelp.com/biz/smoketown-usa-louisville,False,"After a second visit, I'm ready to make a grand proclamation:  Smoketown USA is the best overall bbq dining experience I've ever had, and I've been to a lot..."
4.0,203,Harvest Restaurant,http://www.yelp.com/biz/harvest-restaurant-louisville,False,Harvest is by far my favorite upscale restaurant in Louisville. I make it a point to visit it every time I am in town.  The chicken and biscuit dinner is...
4.5,245,Mayan Cafe,http://www.yelp.com/biz/mayan-cafe-louisville,False,"I've know Chef Bruce Ucan ever since he came to Louisville and it has always been a pleasure to experience his food. Strangely, I haven't been to the Mayan..."
4.0,231,Doc Crow's,http://www.yelp.com/biz/doc-crows-louisville,False,Excellent southern food with a legit selection of bourbon cocktails! The fried pork chop sandwich is one of the best  I've enjoyed in a long time and is...
4.5,67,Zanzabar,http://www.yelp.com/biz/zanzabar-louisville,False,What a great place.  They are doing a killer job giving their food an interesting twist.  Staff is super friendly.  Owner is very friendly and hands on....
4.0,208,The Silver Dollar,http://www.yelp.com/biz/the-silver-dollar-louisville,False,What can I say? Legit bourbon selection and lots of interesting/unique drinks. They also have the best chicken and waffles I've had anywhere. I was hungry...
4.0,139,Holy Grale,http://www.yelp.com/biz/holy-grale-louisville,False,"I just had the most pleasant surprise with my recent visit to this amazing little joint in Louisville, Kentucky.  My boyfriend, his parents, and I came for..."
4.0,298,Proof on Main,http://www.yelp.com/biz/proof-on-main-louisville,False,We started out our evening with mint juleps which proof puts their own spin on! They were delicious and refreshing!  To start our meal we got the Smoked KY...
4.5,18,Wiltshire,http://www.yelp.com/biz/wiltshire-louisville,False,Always an A-1 dining experience. The varying menu does not disappoint. So far on more than one occasion I have been mightily impressed with the knowledge...
4.5,76,New Albanian Brewing Company Pizzeria and Public House,http://www.yelp.com/biz/new-albanian-brewing-company-pizzeria-and-public-house-new-albany-3,False,Some of the best craft beer in the area. They even offer samples or flights for the undecided. As for the food..... Can't go wrong with the pizza or...
4.5,189,Havana Rumba,http://www.yelp.com/biz/havana-rumba-louisville,False,It was suggested time and again to try Havanna Rumba. I understand why. It is in an unassuming strip mall and is not easy to find. But worth the effort....
4.5,133,"Momma's Mustard, Pickles & BBQ",http://www.yelp.com/biz/mommas-mustard-pickles-and-bbq-louisville,False,"We came here, we tried all, and walked away with the clear winners. So I'll save you the hassle of making any unnecessary mistakes. Here is your order:

10..."
4.0,106,Eiderdown,http://www.yelp.com/biz/eiderdown-louisville,False,"I'm always looking for an excuse to go to Eiderdown. If a friend or business associate wants to meet for lunch, ""let's go to Eiderdown,"" I recommend. If a..."
4.0,49,MilkWood,http://www.yelp.com/biz/milkwood-louisville,False,"I was visiting Louisville in June, and as a fan of Top Chef I couldn't wait to come here! Eating here was such a treat, and would recommend any food lover..."
4.5,120,Mojito Tapas Restaurant,http://www.yelp.com/biz/mojito-tapas-restaurant-louisville,False,"Delicious! Came here on a saturday night around 6 and beat the rush, luckily, because the wait was out the door! 

We had the guacamole with plantain chips,..."
4.0,178,Garage Bar,http://www.yelp.com/biz/garage-bar-louisville,False,"This place is beyond awesome. The grass seats outside, the light up ping pong tables, the overall ambiance of the interior, the staff.. Seriously impressed...."
4.5,57,Habana Blues,http://www.yelp.com/biz/habana-blues-new-albany,False,What an amazing place. Steak was juicy and incredibly flavorful. The red beans soup was the closest I've had to homemade at my grandma's house. The menu has...
