rating,review_count,name,url,is_closed,snippet_text
4.5,703,Upstate,http://www.yelp.com/biz/upstate-new-york-2,False,"Of all the meals I had in NYC, this one is easily my favorite. It was only helped my our amazing server. Extremely knowledgeable, witty and attentive, we..."
4.5,1240,Traif,http://www.yelp.com/biz/traif-brooklyn,False,This place is truly a gem in NY! They offer small plates which I loved; it gave us the opportunity to try multiple items. I highly highly recommend this...
4.5,2195,Prosperity Dumpling,http://www.yelp.com/biz/prosperity-dumpling-new-york,False,"Forget the dollar menu at McDonald's and come here.  We got 4 fried dumplings for 1.00 and 10 steamed for 2.75.  10 was too many for me, so I passed about 6..."
4.5,388,Luke's Lobster,http://www.yelp.com/biz/lukes-lobster-new-york-5,False,I had Luke's Lobster bookmarked as a recommendation from one of my fellow Yelpers.  You walk into this establishment and it feel very much like you were...
4.5,1496,Gramercy Tavern,http://www.yelp.com/biz/gramercy-tavern-new-york,False,"Lived up to the hype and reputation.

Very reasonable tasting menu price but I went for two course lunch. Had lobster pasta very tasty and lamb loin - one..."
4.5,46,Hudson Eats At Brookfield Place,http://www.yelp.com/biz/hudson-eats-at-brookfield-place-new-york,False,"This place is in the downstairs part of my building so it is SUPER convenient. I never have to brave the elements to go hunting for food. 
All the places..."
4.5,342,ME Casa,http://www.yelp.com/biz/me-casa-jersey-city,False,"My boyfriend and I had a Groupon for ME Casa, and I'm so glad we went on Friday. The place was packed, and smelled like my mom's kitchen when we walked in,..."
5.0,31,Lunitas,http://www.yelp.com/biz/lunitas-brooklyn,False,"Searching for breakfast/brunch places on Yelp! and stumbled onto this place, which, at the time, had all 5-star reviews, so I was anxious to visit.

At the..."
4.5,96,La Goulette,http://www.yelp.com/biz/la-goulette-brooklyn,False,"Friendly staff, great food, close to the L stop. What more can you ask for? Seems family-owned. They have my favorite combination of mediterranean food:..."
4.5,1132,Eleven Madison Park,http://www.yelp.com/biz/eleven-madison-park-new-york,False,"Amazing, outstanding, unbelievable - these synonyms are lacking because the truth is I am just speechless. 

There were numerous times during this meal when..."
4.5,1036,Taim Falafel and Smoothie Bar,http://www.yelp.com/biz/taim-new-york-2,False,"My two friends and I came here for the first time. It was bustling joint. We looked at the menu, didn't know what to order, so, of course, we relied on yelp..."
4.5,106,The Greek,http://www.yelp.com/biz/the-greek-new-york,False,"Came here with a party of 9 for my birthday dinner. We split about 12 apps and 1 order of moussaka among all of us and it was delightful!!

Highlights:..."
4.5,399,Los Tacos No.1,http://www.yelp.com/biz/los-tacos-no-1-new-york,False,"All their tacos are awesome and pairs well with some chips n' guac, Fanta bottle sodas. Recommend the pork with all 'the works' because it's amazingly..."
5.0,47,Cafe Talya,http://www.yelp.com/biz/cafe-talya-bayonne,False,"This has to be one of the best places to get a great breakfast!
The first thing you notice is that it is very, very clean. It makes you feel comfortable..."
4.0,382,The Cuban Restaurant and Bar,http://www.yelp.com/biz/the-cuban-restaurant-and-bar-hoboken-2,False,"I cannot think of any bad things to say about this place. The ambience is just right, the service is supremely attentive and friendly, and when I had dinner..."
4.5,330,Cafe Mogador,http://www.yelp.com/biz/cafe-mogador-brooklyn,False,"Cafe Mogador is one of my favorite spots in NYC. It has everything I look for in a restaurant: great food, service, ambiance and most importantly..."
4.5,53,La Cigogne,http://www.yelp.com/biz/la-cigogne-carroll-gardens,False,"After a year of watching the renovations taking place and wondering what was going to finally be there, I am so happy to have La Cigogne open and in my..."
4.5,81,Bergen Hill,http://www.yelp.com/biz/bergen-hill-brooklyn,False,"My wife and I went to eat here based on yelp reviews, and we are so glad we did. We didn't have a bad bite to eat. We had the black bass, hamachi, eggs &..."
